Circular move current pose report
Start time: 2026-06-03T10:42:09
TOOL_INDEX: 1
TOOL_FRAME: {-0.444257,-0.560915,220.3881648,0,0,-92}
Circle center mode: matrix calculation from real tool pose
Circle center offset in real tool frame: {0,0,CIRCLE_RADIUS_MM}
SUBCUTANEOUS_SCAN_DISTANCE_MM: 15.0
CIRCLE_RADIUS_MM: 35.0
Radius move delta along user Z: 20.0
CIRCLE_ARC_DEG: 120.0
CIRCLE_TOTAL_STEPS: 120
CIRCLE_APPROACH_OFFSET_MM: 100.0
Reported current pose frame: user=0, tool=1, tool_frame={-0.444257,-0.560915,220.3881648,0,0,-92}

2026-06-03T10:42:22 | real_tool_start_pose | current_pose=[-206.7879, 601.8346, 229.1134, -171.7376, 19.0603, 32.3495]
2026-06-03T10:42:31 | radius_adjusted_pose | current_pose=[-206.7879, 601.8346, 249.1134, 180.0, 0.0, 32.3495]
2026-06-03T10:43:21 | circle point 26/121 | current_pose=[-186.7127, 601.8346, 242.7837, -159.4606, 28.9835, 37.7119] | target_pose=[-186.7127247277134, 601.8346, 242.78372155011473, -159.46059678764325, 28.983471928712618, 37.711863698436446]
2026-06-03T10:43:21 | circle point 27/121 | current_pose=[-187.2161, 601.8346, 243.1297, -160.1546, 28.1906, 37.3798] | target_pose=[-187.21614837852385, 601.8346, 243.12971503942646, -160.15459263460565, 28.190594892537575, 37.37978036023554]
2026-06-03T10:43:22 | circle point 28/121 | current_pose=[-187.7255, 601.8346, 243.4669, -160.8383, 27.3943, 37.061] | target_pose=[-187.72553377447406, 601.8346, 243.46686987808985, -160.8383469185332, 27.394269475290173, 37.06095572909598]
2026-06-03T10:43:23 | circle point 29/121 | current_pose=[-188.2407, 601.8346, 243.7951, -161.5123, 26.5947, 36.755] | target_pose=[-188.24072575183783, 601.8346, 243.7950833654749, -161.51230167754392, 26.594658438079847, 36.75503444579164]
2026-06-03T10:43:23 | circle point 30/121 | current_pose=[-188.7616, 601.8346, 244.1143, -162.1769, 25.7919, 36.4617] | target_pose=[-188.7615673781481, 601.8346, 244.11425552457393, -162.17688545056993, 25.791918043921783, 36.46167682857322]
2026-06-03T10:43:24 | circle point 31/121 | current_pose=[-189.2879, 601.8346, 244.4243, -162.8325, 24.9862, 36.1806] | target_pose=[-189.2879, 601.8346, 244.42428913245536, -162.83251377127064, 24.986198416226415, 36.18055846243075]
2026-06-03T10:43:25 | circle point 32/121 | current_pose=[-189.8196, 601.8346, 244.7251, -163.4796, 24.1776, 35.9114] | target_pose=[-189.81956329137822, 601.8346, 244.72508974987886, -163.47958966790358, 24.177643880673486, 35.911369785661634]
2026-06-03T10:43:26 | circle point 33/121 | current_pose=[-190.3564, 601.8346, 245.0166, -164.1185, 23.3664, 35.6538] | target_pose=[-190.35639530249384, 601.8346, 245.01656575006245, -164.11850416585335, 23.366393291147546, 35.65381567719675]
2026-06-03T10:43:26 | circle point 34/121 | current_pose=[-190.8982, 601.8346, 245.2986, -164.7496, 22.5526, 35.4076] | target_pose=[-190.89823250911587, 601.8346, 245.2986283465929, -164.7496367900636, 22.552580340430865, 35.4076150476007]
2026-06-03T10:43:27 | circle point 35/121 | current_pose=[-191.4449, 601.8346, 245.5712, -165.3734, 21.7363, 35.1725] | target_pose=[-191.4449098623823, 601.8346, 245.57119162047087, -165.37335606509495, 21.736333856357902, 35.172500436191626]
2026-06-03T10:43:28 | circle point 36/121 | current_pose=[-191.9963, 601.8346, 245.8342, -165.99, 20.9178, 34.9482] | target_pose=[-191.99626083907552, 601.8346, 245.83417254628276, -165.99002001094655, 20.917778084137012, 34.94821761631994]
2026-06-03T10:43:28 | circle point 37/121 | current_pose=[-192.5521, 601.8346, 246.0875, -166.6, 20.097, 34.7345] | target_pose=[-192.552117492347, 601.8346, 246.08749101749103, -166.59997663314175, 20.097032955542005, 34.73452521048998]
2026-06-03T10:43:29 | circle point 38/121 | current_pose=[-193.1123, 601.8346, 246.3311, -167.2036, 19.2742, 34.5312] | target_pose=[-193.11231050287543, 601.8346, 246.33106987083542, -167.20356440589202, 19.274214345665882, 34.53119431670527]
2026-06-03T10:43:30 | circle point 39/121 | current_pose=[-193.6767, 601.8346, 246.5648, -167.8011, 18.4494, 34.338] | target_pose=[-193.67666923044308, 601.8346, 246.56483490983757, -167.8011127474261, 18.449434317918247, 34.33800814715423]
2026-06-03T10:43:31 | circle point 40/121 | current_pose=[-194.245, 601.8346, 246.7887, -168.3929, 17.6228, 34.1548] | target_pose=[-194.2450217659145, 601.8346, 246.78871492740208, -168.3929424868047, 17.622801357931877, 34.15476168012836]
2026-06-03T10:43:31 | circle point 41/121 | current_pose=[-194.8172, 601.8346, 247.0026, -168.9794, 16.7944, 33.9813] | target_pose=[-194.8171949836016, 601.8346, 247.0026417275068, -168.9793663217457, 16.794420597027113, 33.98126132587379]
2026-06-03T10:43:32 | circle point 42/121 | current_pose=[-195.393, 601.8346, 247.2066, -169.5607, 15.9644, 33.8173] | target_pose=[-195.3930145939995, 601.8346, 247.2065501459761, -169.56068926715514, 15.964394025864436, 33.817324606912905]
2026-06-03T10:43:33 | circle point 43/121 | current_pose=[-195.9723, 601.8346, 247.4004, -170.1372, 15.1328, 33.6628] | target_pose=[-195.97230519687685, 601.8346, 247.4003780703304, -170.1372090942126, 15.132820698895642, 33.662779853236316]
2026-06-03T10:43:34 | circle point 44/121 | current_pose=[-196.5549, 601.8346, 247.5841, -170.7092, 14.2998, 33.5175] | target_pose=[-196.55489033470423, 601.8346, 247.58406645870625, -170.7092167599822, 14.299796930205076, 33.51746591264964]
2026-06-03T10:43:34 | circle point 45/121 | current_pose=[-197.1406, 601.8346, 247.7576, -171.277, 13.4654, 33.3812] | target_pose=[-197.14059254640503, 601.8346, 247.75755935784116, -171.27699682763117, 13.465416481311507, 33.38123187646411]
2026-06-03T10:43:35 | circle point 46/121 | current_pose=[-197.7292, 601.8346, 247.9208, -171.8408, 12.6298, 33.2539] | target_pose=[-197.72923342141178, 601.8346, 247.9208039201174, -171.84082787742972, 12.62977074148148, 33.253936820640746]
2026-06-03T10:43:36 | circle point 47/121 | current_pose=[-198.3206, 601.8346, 248.0738, -172.401, 11.7929, 33.1355] | target_pose=[-198.32063365401163, 601.8346, 248.0737504196599, -172.40098290878242, 11.792948901086334, 33.135449562434104]
2026-06-03T10:43:37 | circle point 48/121 | current_pose=[-198.9146, 601.8346, 248.2164, -172.9577, 10.955, 33.0256] | target_pose=[-198.91461309796472, 601.8346, 248.21635226748324, -172.95772973360693, 10.955038118515034, 33.02564843253015]
2026-06-03T10:43:37 | circle point 49/121 | current_pose=[-199.511, 601.8346, 248.3486, -173.5113, 10.1161, 32.9244] | target_pose=[-199.51099082137844, 601.8346, 248.34856602568323, -173.51133136143173, 10.116123681137623, 32.92442106263263]
2026-06-03T10:43:38 | circle point 50/121 | current_pose=[-200.1096, 601.8346, 248.4704, -174.062, 9.2763, 32.8317] | target_pose=[-200.10958516182095, 601.8346, 248.47035142066824, -174.06204637662896, 9.276289160796438, 32.831664188421286]
2026-06-03T10:43:39 | circle point 51/121 | current_pose=[-200.7102, 601.8346, 248.5817, -174.6101, 8.4356, 32.7473] | target_pose=[-200.71021378165744, 601.8346, 248.5816713554273, -174.61012930823745, 8.435616564286079, 32.74728346778366]
2026-06-03T10:43:40 | circle point 52/121 | current_pose=[-201.3127, 601.8346, 248.6825, -175.1558, 7.5942, 32.6712] | target_pose=[-201.31269372359193, 601.8346, 248.68249192082982, -175.1558309928623, 7.594186479267222, 32.67119331420645]
2026-06-03T10:43:40 | circle point 53/121 | current_pose=[-201.9168, 601.8346, 248.7728, -175.6994, 6.7521, 32.6033] | target_pose=[-201.91684146639773, 601.8346, 248.77278240595498, -175.6993989311629, 6.752078216046073, 32.60331674520344]
2026-06-03T10:43:41 | circle point 54/121 | current_pose=[-202.5225, 601.8346, 248.8525, -176.2411, 5.9094, 32.5436] | target_pose=[-202.52247298081986, 601.8346, 248.85251530744628, -176.24107763846322, 5.909369945637081, 32.543585245653105]
2026-06-03T10:43:42 | circle point 55/121 | current_pose=[-203.1294, 601.8346, 248.9217, -176.7811, 5.0661, 32.4919] | target_pose=[-203.12940378563215, 601.8346, 248.92166633788958, -176.78110899003465, 5.066138834515158, 32.491938645920186]
2026-06-03T10:43:42 | circle point 56/121 | current_pose=[-203.7374, 601.8346, 248.9802, -177.3197, 4.2225, 32.4483] | target_pose=[-203.73744900383198, 601.8346, 248.9802144332111, -177.3197325616165, 4.222461176452498, 32.44832501463907]
2026-06-03T10:43:43 | circle point 57/121 | current_pose=[-204.3464, 601.8346, 249.0281, -177.8572, 3.3784, 32.4127] | target_pose=[-204.34642341895562, 601.8346, 249.02814175909387, -177.8571859657489, 3.3784125218256804, 32.412700566045146]
2026-06-03T10:43:44 | circle point 58/121 | current_pose=[-204.9561, 601.8346, 249.0654, -178.3937, 2.5341, 32.385] | target_pose=[-204.95614153149697, 601.8346, 249.0654337164101, -178.39370518450363, 2.534067804770217, 32.38502958175039]
2026-06-03T10:43:45 | circle point 59/121 | current_pose=[-205.5664, 601.8346, 249.0921, -178.9295, 1.6895, 32.3653] | target_pose=[-205.56641761541246, 601.8346, 249.09207894566836, -178.9295248992036, 1.6895014685520664, 32.36528434687193]
2026-06-03T10:43:45 | circle point 60/121 | current_pose=[-206.1771, 601.8346, 249.1081, -179.4649, 0.8448, 32.3534] | target_pose=[-206.17706577469508, 601.8346, 249.1080693304737, -179.4648788177274, 0.8447875895203651, 32.353445100436545]
2026-06-03T10:43:46 | circle point 61/121 | current_pose=[-206.7879, 601.8346, 249.1134, -180.0, 0.0, 32.3495] | target_pose=[-206.7879, 601.8346, 249.1134, -180.0, 0.0, 32.349500000000006]
2026-06-03T10:43:47 | circle point 62/121 | current_pose=[-207.3987, 601.8346, 249.1081, 179.4649, -0.8448, 32.3534] | target_pose=[-207.39873422530493, 601.8346, 249.1080693304737, 179.46487881772737, -0.8447875895203651, 32.353445100436545]
2026-06-03T10:43:48 | circle point 63/121 | current_pose=[-208.0094, 601.8346, 249.0921, 178.9295, -1.6895, 32.3653] | target_pose=[-208.00938238458755, 601.8346, 249.09207894566836, 178.92952489920356, -1.6895014685520664, 32.36528434687193]
2026-06-03T10:43:48 | circle point 64/121 | current_pose=[-208.6197, 601.8346, 249.0654, 178.3937, -2.5341, 32.385] | target_pose=[-208.61965846850305, 601.8346, 249.0654337164101, 178.39370518450363, -2.534067804770217, 32.38502958175039]
2026-06-03T10:43:49 | circle point 65/121 | current_pose=[-209.2294, 601.8346, 249.0281, 177.8572, -3.3784, 32.4127] | target_pose=[-209.2293765810444, 601.8346, 249.02814175909387, 177.85718596574884, -3.3784125218256804, 32.412700566045146]
2026-06-03T10:43:50 | circle point 66/121 | current_pose=[-209.8384, 601.8346, 248.9802, 177.3197, -4.2225, 32.4483] | target_pose=[-209.83835099616803, 601.8346, 248.9802144332111, 177.31973256161643, -4.222461176452498, 32.44832501463907]
2026-06-03T10:43:51 | circle point 67/121 | current_pose=[-210.4464, 601.8346, 248.9217, 176.7811, -5.0661, 32.4919] | target_pose=[-210.44639621436787, 601.8346, 248.92166633788958, 176.78110899003468, -5.066138834515158, 32.491938645920186]
2026-06-03T10:43:51 | circle point 68/121 | current_pose=[-211.0533, 601.8346, 248.8525, 176.2411, -5.9094, 32.5436] | target_pose=[-211.05332701918016, 601.8346, 248.85251530744628, 176.2410776384632, -5.909369945637081, 32.543585245653105]
2026-06-03T10:43:52 | circle point 69/121 | current_pose=[-211.659, 601.8346, 248.7728, 175.6994, -6.7521, 32.6033] | target_pose=[-211.6589585336023, 601.8346, 248.77278240595498, 175.69939893116293, -6.752078216046073, 32.60331674520344]
2026-06-03T10:43:53 | circle point 70/121 | current_pose=[-212.2631, 601.8346, 248.6825, 175.1558, -7.5942, 32.6712] | target_pose=[-212.26310627640808, 601.8346, 248.68249192082982, 175.15583099286232, -7.594186479267222, 32.67119331420645]
2026-06-03T10:43:54 | circle point 71/121 | current_pose=[-212.8656, 601.8346, 248.5817, 174.6101, -8.4356, 32.7473] | target_pose=[-212.86558621834257, 601.8346, 248.5816713554273, 174.61012930823745, -8.435616564286079, 32.74728346778366]
2026-06-03T10:43:55 | circle point 72/121 | current_pose=[-213.4662, 601.8346, 248.4704, 174.062, -9.2763, 32.8317] | target_pose=[-213.46621483817907, 601.8346, 248.47035142066824, 174.06204637662893, -9.276289160796438, 32.831664188421286]
2026-06-03T10:43:55 | circle point 73/121 | current_pose=[-214.0648, 601.8346, 248.3486, 173.5113, -10.1161, 32.9244] | target_pose=[-214.06480917862157, 601.8346, 248.34856602568323, 173.5113313614317, -10.116123681137623, 32.92442106263263]
2026-06-03T10:43:56 | circle point 74/121 | current_pose=[-214.6612, 601.8346, 248.2164, 172.9577, -10.955, 33.0256] | target_pose=[-214.6611869020353, 601.8346, 248.21635226748324, 172.95772973360693, -10.955038118515034, 33.02564843253015]
2026-06-03T10:43:57 | circle point 75/121 | current_pose=[-215.2552, 601.8346, 248.0738, 172.401, -11.7929, 33.1354] | target_pose=[-215.25516634598839, 601.8346, 248.0737504196599, 172.4009829087824, -11.792948901086334, 33.135449562434104]
2026-06-03T10:43:58 | circle point 76/121 | current_pose=[-215.8466, 601.8346, 247.9208, 171.8408, -12.6298, 33.2539] | target_pose=[-215.84656657858824, 601.8346, 247.9208039201174, 171.84082787742972, -12.62977074148148, 33.253936820640746]
2026-06-03T10:43:59 | circle point 77/121 | current_pose=[-216.4352, 601.8346, 247.7576, 171.277, -13.4654, 33.3812] | target_pose=[-216.43520745359498, 601.8346, 247.75755935784116, 171.27699682763114, -13.465416481311507, 33.38123187646411]
2026-06-03T10:43:59 | circle point 78/121 | current_pose=[-217.0209, 601.8346, 247.5841, 170.7092, -14.2998, 33.5175] | target_pose=[-217.0209096652958, 601.8346, 247.58406645870625, 170.70921675998216, -14.299796930205076, 33.51746591264964]
2026-06-03T10:44:00 | circle point 79/121 | current_pose=[-217.6035, 601.8346, 247.4004, 170.1372, -15.1328, 33.6628] | target_pose=[-217.60349480312317, 601.8346, 247.4003780703304, 170.1372090942126, -15.132820698895642, 33.662779853236316]
2026-06-03T10:44:01 | circle point 80/121 | current_pose=[-218.1828, 601.8346, 247.2065, 169.5607, -15.9644, 33.8173] | target_pose=[-218.1827854060005, 601.8346, 247.2065501459761, 169.5606892671551, -15.964394025864436, 33.817324606912905]
2026-06-03T10:44:02 | circle point 81/121 | current_pose=[-218.7586, 601.8346, 247.0026, 168.9794, -16.7944, 33.9813] | target_pose=[-218.7586050163984, 601.8346, 247.0026417275068, 168.97936632174566, -16.794420597027113, 33.98126132587379]
2026-06-03T10:44:03 | circle point 82/121 | current_pose=[-219.3308, 601.8346, 246.7887, 168.3929, -17.6228, 34.1548] | target_pose=[-219.33077823408553, 601.8346, 246.78871492740208, 168.3929424868047, -17.622801357931877, 34.15476168012836]
2026-06-03T10:44:03 | circle point 83/121 | current_pose=[-219.8991, 601.8346, 246.5648, 167.8011, -18.4494, 34.338] | target_pose=[-219.89913076955693, 601.8346, 246.56483490983757, 167.80111274742603, -18.449434317918247, 34.33800814715423]
2026-06-03T10:44:04 | circle point 84/121 | current_pose=[-220.4635, 601.8346, 246.3311, 167.2036, -19.2742, 34.5312] | target_pose=[-220.46348949712458, 601.8346, 246.33106987083542, 167.203564405892, -19.274214345665882, 34.53119431670527]
2026-06-03T10:44:05 | circle point 85/121 | current_pose=[-221.0237, 601.8346, 246.0875, 166.6, -20.097, 34.7345] | target_pose=[-221.023682507653, 601.8346, 246.08749101749103, 166.59997663314175, -20.097032955542005, 34.73452521048998]
2026-06-03T10:44:06 | circle point 86/121 | current_pose=[-221.5795, 601.8346, 245.8342, 165.99, -20.9178, 34.9482] | target_pose=[-221.5795391609245, 601.8346, 245.83417254628276, 165.99002001094652, -20.917778084137012, 34.94821761631994]
